,expt_id,duration_s,cum_rebuf_max,mean_rtt,mean_min_rtt,mean_delivery_rate,mean_cwnd,mean_in_flight,mean_ssim,rebuffering_ratio
count,63044.0,63044.0,63044.0,63044.0,63044.0,63044.0,63044.0,63044.0,63044.0,63044.0
mean,2242.8080864158364,5356.201986660111,3.8614985724256075,84759.46232544382,55803.193510354184,8230991.9931970555,847.9787737597362,1.526577788245346,0.9767466398930326,0.006911055106244584
std,2.0338998327101327,10746.10042034155,22.937235613800947,63316.85506797077,48720.369304557935,10650211.157611264,549.2610766550832,3.377005049175514,0.012644494901831343,0.03413308585410526
min,2240.0,30.007,0.0,1302.9651162790697,521.7674418604652,5914.379310344828,3.8,0.0,0.7859854285714285,0.0
25%,2241.0,169.09925,0.229,39988.02134252288,19526.10339390142,3094037.6786567164,445.9069887856133,0.04522230976617053,0.9758792961046512,8.334284536257221e-05
50%,2243.0,1185.1355,0.437,71155.89116557423,48458.376342899195,6997438.992424242,750.6196148422351,0.30714285714285716,0.9805933259570494,0.00048072829578758646
75%,2245.0,5189.6825,0.834,104042.60069937163,72234.33441359375,10436455.123106226,1175.8833283526214,1.5326750564917917,0.9828923115940387,0.00327881929656643
max,2246.0,86399.716,718.896,679843.25,405586.0179640719,290626262.05183846,5916.841353902832,85.98113207547169,1.0,0.9669932856335545
