,mean_rtt,mean_min_rtt,mean_delivery_rate,cum_rebuf_max
mean_rtt,1.0,0.8190108757158927,-0.383558967783477,0.20742190954860637
mean_min_rtt,0.8190108757158927,1.0,-0.2773249449533557,0.0632565946899813
mean_delivery_rate,-0.383558967783477,-0.2773249449533557,1.0,-0.06323087895728599
cum_rebuf_max,0.20742190954860637,0.0632565946899813,-0.06323087895728599,1.0
